symbol,timeframe,model,cumulative_return_baseline,cumulative_return_improved,return_improvement,max_drawdown_baseline,max_drawdown_improved,trade_count_baseline,trade_count_improved,threshold_bps,ma_window,min_hold_bars,hold_until_opposite,stop_loss_bps,cooldown_bars,long_only
USTEC,H4,iTransformer,0.0753890056858404,0.3773659994801615,0.3019769937943211,0.1047355178218765,0.0719491233335616,1060.0,161,20.0,0,1,True,0.0,0,False
USTEC,H4,DLinear,0.0749158750750436,0.3540136588881293,0.2790977838130857,0.1791975667482223,0.142389194006428,1089.0,165,8.0,0,3,False,40.0,0,False
US500,H1,PatchTST,-0.2305033625454207,0.2204541264538368,0.45095748899925747,0.2425587429651455,0.0397324311552983,1851.0,145,15.0,0,3,True,40.0,2,False
GBPUSD,M15,PatchTST,-0.1200888622091108,0.050359200476207,0.1704480626853178,0.1200888622091108,0.0117031887144184,728.0,10,12.0,0,1,True,40.0,2,False
EURUSD,M15,PatchTST,-0.1075831673357147,0.0436477232548584,0.1512308905905731,0.1075831673357147,0.0232742575317402,631.0,8,10.0,0,1,True,0.0,0,False
GBPUSD,H1,PatchTST,-0.2148698155475921,0.0400690760965336,0.2549388916441257,0.2179714244972512,0.0311703468277008,1248.0,8,20.0,0,1,True,40.0,0,False
EURUSD,H1,PatchTST,-0.2059055150075841,0.0375935130276421,0.24349902803522622,0.2133581168895165,0.0192554593709455,1107.0,29,12.0,0,1,True,20.0,2,False
