symbol,timeframe,model,threshold_bps,trade_count,coverage,win_rate,win_loss_ratio,profit_factor,cumulative_return,max_drawdown
USDJPY,H4,PatchTST,20,472,0.19666666666666666,0.5254237288135594,0.9267823988135516,1.0260805129721466,0.010411507272138909,0.07451618116930736
GBPUSD,M15,PatchTST,15,20,0.008333333333333333,0.55,1.3550871438749312,1.6562176202915826,0.0029420166943630033,0.0011521009906951818
GBPUSD,H1,PatchTST,20,41,0.017083333333333332,0.5121951219512195,0.9997161963404966,1.0497020061575213,0.001082328129414778,0.005861126684244988
USDJPY,M15,PatchTST,20,5,0.0020833333333333333,0.4,1.22254564244686,0.8150304282979065,-0.00025559992774526474,0.0013762530148967445
EURUSD,M15,PatchTST,20,4,0.0016666666666666668,0.5,0.5727065129032317,0.5727065129032317,-0.0007182244065209176,0.0016779355176004263
EURUSD,H1,PatchTST,20,32,0.013333333333333334,0.40625,0.910750106721291,0.6231448098619359,-0.00807163342205508,0.012807400701727367
USDJPY,H1,PatchTST,20,71,0.029583333333333333,0.4084507042253521,0.5969114776554515,0.41215316314304984,-0.0325870082889973,0.03604003102963349
GBPUSD,H4,PatchTST,20,308,0.12833333333333333,0.4805194805194805,0.8834870637542757,0.8172255339727048,-0.04389020109298192,0.06819858211852459
EURUSD,H4,PatchTST,20,239,0.09958333333333333,0.4769874476987448,0.866308869292442,0.7900736887947072,-0.04996800111035016,0.06830207888387085
XAUUSD,M15,PatchTST,20,454,0.18916666666666668,0.47577092511013214,0.8725686514115882,0.7919110449785843,-0.1333364129214042,0.1400200455966295
XAUUSD,H1,PatchTST,20,897,0.37375,0.5016722408026756,0.8392121106468309,0.8448444066914405,-0.24150254694592144,0.2784548629329803
XAUUSD,H4,PatchTST,20,1134,0.4725,0.47266313932980597,0.9035948997667836,0.8099111476170503,-0.4021877198114939,0.4572259701439766
